name,latent_dim,num_layers,sigma,best_step,l2,rmse,cosine_distance,noisy_l2,noisy_rmse,noisy_cosine_distance,summary_path
latent_3072_layers_1_sigma_0p1,3072,1,0.1,10000,0.009631142057478427,0.09813838218290756,0.005494159460067749,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_3072_layers_1_sigma_0p1/summary.json
latent_3072_layers_3_sigma_0p1,3072,3,0.1,10000,0.009684943668544293,0.09841211139155735,0.005479940772056579,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_3072_layers_3_sigma_0p1/summary.json
latent_3072_layers_5_sigma_0p1,3072,5,0.1,10000,0.00972374765202403,0.0986090647558531,0.005508118867874145,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_3072_layers_5_sigma_0p1/summary.json
latent_768_layers_5_sigma_0p1,768,5,0.1,10000,0.009752541808411478,0.09875495839911776,0.005538824200630188,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_768_layers_5_sigma_0p1/summary.json
latent_768_layers_3_sigma_0p1,768,3,0.1,10000,0.009753293311223387,0.09875876321230125,0.005568153858184814,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_768_layers_3_sigma_0p1/summary.json
latent_768_layers_1_sigma_0p1,768,1,0.1,10000,0.00977577048353851,0.0988724960923841,0.005591272115707397,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_768_layers_1_sigma_0p1/summary.json
latent_192_layers_5_sigma_0p1,192,5,0.1,10000,0.009830951010808348,0.09915115234231194,0.005612154603004456,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_192_layers_5_sigma_0p1/summary.json
latent_192_layers_3_sigma_0p1,192,3,0.1,10000,0.009839404644444584,0.09919377321407118,0.005622608661651611,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_192_layers_3_sigma_0p1/summary.json
latent_192_layers_1_sigma_0p1,192,1,0.1,10000,0.009898625193163752,0.09949183480649933,0.0056409180164337155,0.010006678495556117,0.10003338690435368,0.005687069892883301,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_192_layers_1_sigma_0p1/summary.json
latent_3072_layers_5_sigma_0p2,3072,5,0.2,10000,0.03153084574267268,0.1775692702656422,0.01727256715297699,0.04001775994896889,0.20004439494514434,0.022093111872673033,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_3072_layers_5_sigma_0p2/summary.json
latent_3072_layers_3_sigma_0p2,3072,3,0.2,10000,0.03178014785051346,0.178269873648111,0.01750252068042755,0.04001775994896889,0.20004439494514434,0.022093111872673033,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_3072_layers_3_sigma_0p2/summary.json
latent_768_layers_5_sigma_0p2,768,5,0.2,10000,0.03330132469534874,0.18248650551574694,0.018485240936279297,0.04001775994896889,0.20004439494514434,0.022093111872673033,/Users/meshaza/Desktop/TBANK/steering-recovery/runs/denoiser/2026-08-20/14-16-25/models/latent_768_layers_5_sigma_0p2/summary.json
